file_id,swath_id,index,x_init,y_init,theta_init,scale_init
dji_0009,0,0,505.0331551667738,333.0382111107294,-10.2,1
dji_0010,1,1,-373.3773096479656,456.0042046395849,-10.3,1
dji_0011,2,2,-503.78923113927084,-394.3428312424909,-11.0,1
dji_0012,3,3,-135.8455440782692,-456.0042046395849,-11.0,1
